
＊初期化
＄辞書フォルダ	.,_Common,00_Fuka,02_Minimu,03_Yuna,04_Makana,05_Firio,06_Chinayo,07_Rereni,08_Minako,09_Suria
＄喋り間隔	１８０秒
＄喋り間隔誤差	１０％
＄会話時サーフェス戻し	有効
＄デフォルトサーフェス0	0
＄デフォルトサーフェス1	10
＄デフォルトサーフェス2	999999
＄デフォルトサーフェス3	999999
＄デフォルトサーフェス4	999999
＄デフォルトサーフェス5	999999
＄デフォルトサーフェス6	999999
＄デフォルトサーフェス7	999999
＄デフォルトサーフェス100	999999
＄スコープ切り換え時	\n[half]
＄ユーザ名	お客さん
＄自動挿入ウェイトタイプ	無効
＄自動挿入ウェイトの倍率	１００％
＄なでられ持続秒数	２
＄なでられ反応回数	６０
＄トーク中のなでられ反応	無効
＄キャラ表示配列1	フーカ
＄キャラ表示配列2	ミニム
＄キャラ表示配列3	ユナ
＄キャラ表示配列4	マカナ
＄キャラ表示配列5	フィリオ
＄キャラ表示配列6	チナヨ
＄キャラ表示配列7	レレニー
＄キャラ表示配列8	ミナコ
＄キャラ表示配列9	スーリア
＄キャラ表示配列10	男
＄好感度	０
＄射精ゲージ	０
＄射精閾値	１００
＄なでられ時実行イベント	なでられ時の反応
＄筆おろしフラグ	０
＄オナホコキモード	０
＄残り時間	１２０
＄残ゴム数	３
＄精液ストック	５
＄時間１ケタ	０
＄時間２ケタ	２
＄時間３ケタ	１
＄オナホコキ開放フラグ	０
＄終了時の挙動	０
＄延長済みフラグ	０
＄時間無限	０
＄精液無限	０
＄ゴム無限	０
＄使用済ゴム１状態	０
＄使用済ゴム２状態	０
＄使用済ゴム３状態	０
＄使用済ゴム表示	０
＄ボテ腹目撃済み	０
＄ボテ腹状態	０
＄ボテ腹カウント	０
＄ボテ状態許可	０
＄ユーザ孕ませ経験	０
＄生えっちフラグ	０
＄ペットテスト正解数	０
＄生えっち解放フラグ	０
＄生えっち初回フラグ	０
＄中出し回数	０
＄使用済ゴム４状態	０
＄使用済ゴム５状態	０
＄使用済ゴム６状態	０
＄他客使用済ゴム１状態	０
＄他客使用済ゴム２状態	０
＄他客使用済ゴム３状態	０
＄他客使用済ゴム起動	０
＄追加ゴム使用フラグ	０
＄ミニム登場カウント	０
＄ミニム登場フラグ	０
＄ミニムユーザ名	パパ
＄ミニムえっちフラグ	０
＄ミニム起動フラグ	０
＄ミニム使用済ゴム１状態	０
＄ミニム使用済ゴム２状態	０
＄ミニム使用済ゴム３状態	０
＄ミニム使用済ゴム４状態	０
＄ミニム使用済ゴム５状態	０
＄ミニム使用済ゴム６状態	０
＄実績解放通知	１
＄チートモード中フラグ	０
＄フーカ配信中フラグ	０
＄前戯カウント	０
＄挿入中カウント	０
＄フーカえっち配信見た	０
＄表示中話題一覧ページ数	１
＄表示中実績ページ	１
＄最大実績ページ	５
＄実績１解放	０
＄実績２解放	０
＄実績３解放	０
＄実績４解放	０
＄実績５解放	０
＄実績６解放	０
＄実績７解放	０
＄実績８解放	０
＄実績９解放	０
＄実績１０解放	０
＄実績１１解放	０
＄実績１２解放	０
＄実績１３解放	０
＄実績１４解放	０
＄実績１５解放	０
＄実績１６解放	０
＄実績１７解放	０
＄実績１８解放	０
＄実績１９解放	０
＄実績２０解放	０
＄実績２１解放	０
＄実績２２解放	０
＄実績２３解放	０
＄実績２４解放	０
＄実績２５解放	０
＄実績２６解放	０
＄実績２７解放	０
＄実績２８解放	０
＄実績２９解放	０
＄実績３０解放	０
＄実績３１解放	０
＄実績３２解放	０
＄実績３３解放	０
＄実績３４解放	０
＄実績３５解放	０
＄実績３６解放	０
＄実績３７解放	０
＄実績３８解放	０
＄実績３９解放	０
＄実績４０解放	０
＄総ゴム射精回数	０
＄総膣内射精回数	０
＄総パイズリ射精回数	０
＄総フェラ射精回数	０
＄総手コキ射精回数	０
＄総ふとももコキ射精回数	０
＄総オナホ射精回数	０
＄総自慰射精回数	０
＄実績移行フラグ	０
＄次回起動キャラ	フーカ
＄起動中キャラ	フーカ
＄ユナユーザ名	あなた様
＄ユナ登場フラグ	０
＄ユナ使用済ゴム１状態	０
＄ユナ使用済ゴム２状態	０
＄ユナ使用済ゴム３状態	０
＄ユナ使用済ゴム４状態	０
＄ユナ使用済ゴム５状態	０
＄ユナ使用済ゴム６状態	０
＄ユナ生えっち解放フラグ	０
＄ユナ現在のコス	シスター服
＄ユナ頭コス	なし
＄ユナニプレスコス	なし
＄ユナ髪型コス	セミロング
＄透過断面図表示	０
＄フーカ子宮精液量	０
＄ミニム子宮精液量	０
＄ユナ子宮精液量	０
＄ツールチップ表示	０
＄マカナ登場フラグ	０
＄マカナえっちフラグ	０
＄マカナ生えっち解放フラグ	０
＄マカナユーザ名	お客さん
＄マカナ子宮精液量	０
＄マカナ使用済ゴム１状態	０
＄マカナ使用済ゴム２状態	０
＄マカナ使用済ゴム３状態	０
＄マカナ使用済ゴム４状態	０
＄マカナ使用済ゴム５状態	０
＄マカナ使用済ゴム６状態	０
＄マカナ起動回数	０
＄マカナ現在のコス	シスター服
＄マカナ頭コス	キャスケット帽
＄マカナ眼鏡コス	赤縁メガネ
＄マカナ髪型コス	束ね
＄マカナヘアピンコス	なし
＄マカナメイクコス	通常メイク
＄挿入中フラグ	０
＄フェラ後射精フラグ	０
＄膣内射精後フラグ	０
＄コース時間	１２０
＄マカナ帽子着用	１
＄マカナ眼鏡着用	１
＄フィリオユーザ名	お兄さん
＄フィリオ登場フラグ	０
＄フィリオ使用済ゴム１状態	０
＄フィリオ使用済ゴム２状態	０
＄フィリオ使用済ゴム３状態	０
＄フィリオ使用済ゴム４状態	０
＄フィリオ使用済ゴム５状態	０
＄フィリオ使用済ゴム６状態	０
＄チナヨユーザ名	お客さん
＄チナヨユーザ名２	オマエ
＄チナヨ登場フラグ	０
＄チナヨ使用済ゴム１状態	０
＄チナヨ使用済ゴム２状態	０
＄チナヨ使用済ゴム３状態	０
＄チナヨ使用済ゴム４状態	０
＄チナヨ使用済ゴム５状態	０
＄チナヨ使用済ゴム６状態	０
＄チナヨ生えっち解放フラグ	０
＄チナヨ子宮精液量	０
＄チナヨ本性モード	０
＄チナヨ本性バレ	０
＄チナヨ生えっちNG回数	０
＄チナヨ現在のコス	JK制服
＄チナヨ頭コス	白リボン
＄チナヨ髪型コス	ツーサイドアップ
＄コスプレシェルフラグ	０
＄コスプレ中Ｆ	０
＄現在ポーズ	１
＄童貞卒業相手	フーカ
＄筆おろしプレイＦ	０
＄筆おろしバックアップ	０
＄ユナえっちフラグ	０
＄フィリオ起動回数	０
＄ユナ起動回数	０
＄フーカ起動回数	０
＄ミニム起動回数	０
＄チナヨ起動回数	０
＄フィリオ男バレＦ	０
＄フィリオ射精ゲージ	０
＄フィリオアナル処女	０
＄フィリオ射精状態	０
＄フィリオ現在ポーズ	０
＄フィリオ起動回数	０
＄フィリオ隙フラグ	０
＄フィリオゴム着用フラグ	１
＄フィリオオナホコキ経験フラグ	０
＄フィリオオナホコキ中フラグ	０
＄フィリオオナホ射精回数	０
＄フィリオ射精回数	０
＄フィリオ童貞フラグ	０
＄フィリオ童貞卒業相手	０
＄フィリオ３Ｐ起動相手	０
＄フーカらぶえっちＦ	０
＄フーカらぶえっち解放Ｆ	０
＄プライベートモード	０
＄休憩済みフラグ	０
＄宿泊フラグ	０
＄マカナ生えっち解放フラグ	０
＄プライベートモード予約	０
＄バスローブ状態	０
＄プライベートフーカと鉢合わせ	０
＄プライベート後	０
＄折り畳み	０
＄射精反応ウエイト	\w9\w8
＄射精反応ウエイトON	０
＄更新チェック機能フラグ	０
＄新規更新あり	０
＄レレニー起動回数	０
＄レレニーユーザ名	お客さん
＄レレニー登場フラグ	０
＄レレニー使用済ゴム１状態	０
＄レレニー使用済ゴム２状態	０
＄レレニー使用済ゴム３状態	０
＄レレニー使用済ゴム４状態	０
＄レレニー使用済ゴム５状態	０
＄レレニー使用済ゴム６状態	０
＄レレニー生えっち解放フラグ	０
＄レレニー子宮精液量	０
＄レレニー眼鏡着用	１
＄レレニー交流度	０
＄レレニー交流ポイント	０
＄レレニー現在のコス	私服セーター
＄レレニー頭コス	なし
＄レレニー眼鏡コス	丸眼鏡
＄レレニーヘアピンコス	クロスヘアピン
＄レレニー髪型コス	ロング
＄実績ヒント詳細表示フラグ	０
＄フーカ交流度	０
＄ミニム交流度	０
＄ユナ交流度	０
＄マカナ交流度	０
＄フィリオ交流度	０
＄チナヨ交流度	０
＄フーカ交流ポイント	０
＄ミニム交流ポイント	０
＄ユナ交流ポイント	０
＄マカナ交流ポイント	０
＄フィリオ交流ポイント	０
＄チナヨ交流ポイント	０
＄射精時交流カウント	０
＄会話交流カウント	０
＄交流度移行フラグ	０
＄ユナボテ腹状態	０
＄ユナボテ腹カウント	０
＄ユナユーザ孕ませ経験	０
＄ユナボテ腹目撃済み	０
＄ユナボテえっちフラグ	０
＄ミナコ起動回数	０
＄ミナコユーザ名	おにーさん
＄ミナコ登場フラグ	０
＄ミナコ使用済ゴム１状態	０
＄ミナコ使用済ゴム２状態	０
＄ミナコ使用済ゴム３状態	０
＄ミナコ使用済ゴム４状態	０
＄ミナコ使用済ゴム５状態	０
＄ミナコ使用済ゴム６状態	０
＄ミナコ生えっち初回フラグ	０
＄ミナコ生えっち解放フラグ	０
＄ミナコ１回生えっち状態	０
＄ミナコ１回生えっちカウント	０
＄ミナコ１回生えっちフラグ	０
＄ミナコ子宮精液量	０
＄ミナコ交流度	０
＄ミナコ交流ポイント	０
＄ミナコおっぱい露出	０
＄ミナコノーブラ状態	０
＄ミナコデカパイバレ	０
＄ミナコ乳揉みカウント	０
＄ミナコ現在のコス	ワイシャツ
＄ミナコ髪型コス	二つ結び
＄ミナコ私服お披露目フラグ	０
＄チンポの大きさ	１
＄射精までの時間	１
